Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-08-20,1285.2474641577062,1290.6122873357228,-5.36482317801665,322,322,119,2,8,1155.0259961118843
2025-08-21,1148.1328673835126,1157.298835125448,-9.165967741935448,276,276,107,3,8,995.4391395675558
2025-08-22,1002.105035842294,1009.2672133789896,-7.162177536695708,257,257,110,4,8,753.121870536638
2025-08-23,1088.370250896057,1096.753140510326,-8.382889614268606,253,253,116,5,8,737.2778449109911
2025-08-24,641.242688172043,652.1717663423792,-10.929078170336195,196,196,87,6,8,643.3749937453485
2025-08-25,887.9760035842294,898.6025727299881,-10.626569145758708,237,237,115,0,8,783.3158984012499
2025-08-26,1147.5831989247313,1153.053645459976,-5.470446535244719,299,299,118,1,8,1009.4208872838256
2025-08-27,1094.0012813620071,1107.651895459976,-13.650614097968855,292,292,117,2,8,1027.134778215578
2025-08-28,1119.6961379928316,1127.7921205197133,-8.095982526881699,309,309,104,3,8,993.6134464375392
2025-08-29,1099.0464516129032,1119.0533279356546,-20.006876322751395,307,307,113,4,8,1012.49478833824
2025-08-30,1103.0991487455196,1104.438908004779,-1.339759259259381,243,243,92,5,8,681.7475113051129
2025-08-31,930.1262455197132,939.7997494026284,-9.673503882915156,249,249,107,6,8,709.020410434872
